"countryname","countrycode","year","gdp","gfk","poptot","pop1564","pop65up","lfpr","pov250","pov4","gini","years_sch","g","I","delta","K","lgdp","lpop1564","lK","lyears_sch","dlgdp","dlpop1564","dlK","dlyears_sch","red","alpha","TFP","TFPH"
"Argentina","ARG",1990,202985497616.637,21965941313.0171,32729740,60.333309173584,9.0534782409668,58.7000007629395,0,0,0,8.37142372131348,0.0929341623136628,25254427064.8936,0.03,3104631835.93419,26.0364003731241,4.0998843421598,21.856160973944,2.1248239681622,0,0,0,0,0,0.2,0,0
"Argentina","ARG",1991,228703171682.529,28542912816.7701,33193920,60.3701591491699,9.16011714935303,58.2999992370605,0,0,0,8.42510147094725,0.0929341623136628,28542912816.7701,0.03,31554405697.6263,26.1556908061891,4.10049492903428,24.1749790579477,2.13121552019524,0.119290433065036,0.000610586874476127,2.31881808400378,0.00639155203304309,0.0141589313168977,0.2,-0.344961653235301,-0.345034051272297
"Argentina","ARG",1992,256012102225.073,37860309033.9501,33655149,60.5496139526367,9.26963043212891,57.9000015258789,0,0,0,8.47877922058105,0.0929341623136628,37860309033.9501,0.03,68468082560.6476,26.2684905546253,4.10346309429978,24.9496335256073,2.13756647960346,0.112799748436149,0.00296816526550181,0.774654467659591,0.00635095940821451,0.0133037723358032,0.2,-0.0445056773081703,-0.0445732706826349
"Argentina","ARG",1993,271134531016.591,43018071420.7476,34110912,60.81689453125,9.37622261047363,57.7000007629395,0,0,0,8.53245697021484,0.0929341623136628,43018071420.7476,0.03,109432111504.576,26.3258809590637,4.10786762095301,25.4185702076724,2.14387735874058,0.0573904044384719,0.00440452665323221,0.468936682065092,0.00631087913711648,0.00672612878550817,0.2,-0.0399205532971322,-0.0399545115257931
"Argentina","ARG",1994,286958486408.097,48899617216.6819,34558114,61.0866279602051,9.46995258331299,57.5999984741211,0,0,0,8.58613471984863,0.0929341623136628,48899617216.6819,0.03,155048765376.12,26.382603395582,4.11229298723684,25.7670055197144,2.15014866032086,0.056722436518271,0.00442536628383028,0.348435312042014,0.00627130158027978,0.0066062830795265,0.2,-0.016504918917196,-0.0165380629120091
"Argentina","ARG",1995,278793915961.266,42501564546.3887,34994818,61.3188133239746,9.54715347290039,58,0,0,0,8.63981246948242,0.0929341623136628,42501564546.3887,0.03,192898866961.225,26.353738693361,4.11608670163069,25.9854318831302,2.15638087765939,-0.0288647022209645,0.00379371439384357,0.218426363415805,0.00623221733853807,-0.00334089453016723,0.2,-0.0755849464192003,-0.0755682894745466
"Argentina","ARG",1996,294201990940.983,46277109204.934,35419683,61.4846000671387,9.64780235290527,57.9000015258789,0,0,0,8.65767383575439,0.0929341623136628,46277109204.934,0.03,233389010157.323,26.4075324123953,4.11878673804342,26.1759724698176,2.15844607630214,0.0537937190342994,0.00270003641273764,0.190540586687394,0.00206519864274846,0.0062134148334559,0.2,0.0135255725666305,0.0135153070179258
"Argentina","ARG",1997,318064852036.16,54450971906.4062,35833965,61.6405982971191,9.73401927947998,57.9000015258789,0,0,0,8.67553520202637,0.0929341623136628,54450971906.4062,0.03,280838311759.009,26.4855211361548,4.12132071671758,26.3610449376795,2.16050701868796,0.0779887237594998,0.0025339786741565,0.185072467861833,0.00206094238582066,0.00898950000701787,0.2,0.0389470472478081,0.0389322257745346
"Argentina","ARG",1998,330310917747.868,58014225918.8664,36241578,61.7875137329102,9.80614852905273,57.7999992370605,0,0,0,8.69339656829834,0.0929341623136628,58014225918.8664,0.03,330427388325.105,26.5233002228322,4.12370130089338,26.5236527696041,2.16256372232459,0.0377790866773609,0.00238058417580422,0.16260783192465,0.00205670363662369,0.00434572222497332,0.2,0.00335305295178756,0.00334590266162447
"Argentina","ARG",1999,319128383481.508,50698716387.0208,36648054,61.9397048950195,9.86502838134766,57.7999992370605,0,0,0,8.71125793457031,0.0929341623136628,50698716387.0208,0.03,371213283062.373,26.4888593148224,4.12616141016528,26.6400426213302,2.16461620461194,-0.0344409080097847,0.00246010927189477,0.116389851726094,0.00205248228735444,-0.0039536090273607,0.2,-0.0596869657725193,-0.0596804740025195
